Key,File,Type,UsedInMainMenu,NoTranslate,english,Context,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

cybSecurityResin,items,Item,,,CYB Security Resin,,,,,,,,,,,,,
cybSecurityResinDesc,items,Item,,,A high-strength industrial bonding compound used in the manufacture of CYB Tempered Glass Panels and other CYB Industries products.,,,,,,,,,,,,,

cybTemperedGlassPanel,items,Item,,,CYB Tempered Glass Panel,,,,,,,,,,,,,
cybTemperedGlassPanelDesc,items,Item,,,"A reinforced tempered glazing panel used to manufacture, maintain and restore CYB Security Windows.",,,,,,,,,,,,,

cybIndustrialToolkit,items,Item,,,CYB Industrial Toolkit,,,,,,,,,,,,,
cybIndustrialToolkitDesc,items,Item,,,"A professional-grade impact driver and maintenance toolkit designed for the installation, repair and restoration of CYB Industries products.",,,,,,,,,,,,,

cybSecurityWindowShapes:VariantHelper,blocks,Block,,,CYB Security Window,,,,,,,,,,,,,
cybSecurityWindowShapes:VariantHelperDesc,blocks,Block,,,A premium architectural security window featuring a collection of selectable window shapes.,,,,,,,,,,,,,

shapecybWindowIconDummy,shapes,Shape,,,CYB Security Window,,,,,,,,,,,,,
